NAICS,Description of NAICS,Set-Aside
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",WOSB
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",WOSB
333991,Power-Driven Handtool Manufacturing,WOSB
333992,Welding and Soldering Equipment Manufacturing,WOSB
333993,Packaging Machinery Manufacturing,WOSB
333994,Industrial Process Furnace and Oven Manufacturing,WOSB
333995,Fluid Power Cylinder and Actuator Manufacturing,WOSB
333996,Fluid Power Pump and Motor Manufacturing,WOSB
333997,Scale and Balance Manufacturing,WOSB
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,WOSB
334111,Electronic Computer Manufacturing,WOSB
334112,Computer Storage Device Manufacturing,WOSB
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,WOSB
334210,Telephone Apparatus Manufacturing,WOSB
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,WOSB
334290,Other Communications Equipment Manufacturing,WOSB
334310,Audio and Video Equipment Manufacturing,EDWOSB
334412,Bare Printed Circuit Board Manufacturing,WOSB
334413,Semiconductor and Related Device Manufacturing,WOSB
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",WOSB
334417,Electronic Connector Manufacturing,WOSB
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,WOSB
334419,Other Electronic Component Manufacturing,WOSB
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,WOSB
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",WOSB
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",WOSB
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",WOSB
334514,Totalizing Fluid Meter and Counting Device Manufacturing,WOSB
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,WOSB
334516,Analytical Laboratory Instrument Manufacturing,WOSB
334517,Irradiation Apparatus Manufacturing,WOSB
334519,Other Measuring and Controlling Device Manufacturing,WOSB
334613,Blank Magnetic and Optical Recording Media Manufacturing,WOSB
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",WOSB
335110,Electric Lamp Bulb and Part Manufacturing,EDWOSB
335121,Residential Electric Lighting Fixture Manufacturing,EDWOSB
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",EDWOSB
335129,Other Lighting Equipment Manufacturing,EDWOSB
335311,"Power, Distribution, and Specialty Transformer Manufacturing",EDWOSB
